MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
670.0,520.0,316.0,551.0,3
670.0,519.0,317.0,549.0,3
671.0,520.0,317.0,550.0,3
673.0,524.0,322.0,552.0,3
671.0,521.0,319.0,552.0,3
667.0,521.0,322.0,552.0,3
672.0,524.0,324.0,555.0,3
675.0,526.0,327.0,558.0,3
666.0,519.0,324.0,553.0,3
665.0,520.0,321.0,550.0,3
667.0,522.0,326.0,554.0,3
663.0,516.0,321.0,550.0,3
660.0,514.0,318.0,544.0,3
657.0,511.0,318.0,544.0,3
657.0,510.0,316.0,543.0,3
658.0,512.0,318.0,545.0,3
657.0,510.0,317.0,543.0,3
657.0,511.0,318.0,544.0,3
656.0,511.0,318.0,544.0,3
664.0,517.0,323.0,551.0,3
650.0,505.0,316.0,539.0,3
652.0,508.0,317.0,541.0,3
649.0,505.0,316.0,538.0,3
649.0,505.0,314.0,537.0,3
649.0,505.0,315.0,538.0,3
651.0,506.0,316.0,539.0,3
650.0,506.0,316.0,539.0,3
654.0,509.0,318.0,543.0,3
649.0,505.0,316.0,538.0,3
652.0,507.0,318.0,541.0,3
652.0,507.0,317.0,540.0,3
656.0,511.0,320.0,544.0,3
651.0,508.0,318.0,540.0,3
656.0,511.0,320.0,544.0,3
656.0,511.0,320.0,544.0,3
657.0,512.0,320.0,545.0,3
653.0,509.0,319.0,542.0,3
657.0,512.0,321.0,545.0,3
656.0,511.0,321.0,544.0,3
659.0,514.0,323.0,548.0,3
657.0,512.0,323.0,546.0,3
652.0,507.0,320.0,541.0,3
653.0,509.0,321.0,545.0,3
651.0,507.0,320.0,542.0,3
655.0,511.0,323.0,545.0,3
653.0,509.0,322.0,544.0,3
653.0,509.0,321.0,544.0,3
649.0,505.0,320.0,540.0,3
650.0,507.0,322.0,542.0,3
651.0,507.0,322.0,542.0,3
651.0,508.0,322.0,543.0,3
654.0,510.0,324.0,546.0,3
650.0,507.0,322.0,542.0,3
651.0,509.0,324.0,544.0,3
653.0,510.0,325.0,545.0,3
655.0,513.0,327.0,548.0,3
654.0,511.0,326.0,546.0,3
646.0,505.0,321.0,539.0,3
651.0,509.0,324.0,544.0,3
649.0,507.0,323.0,542.0,3
651.0,509.0,324.0,544.0,3
654.0,512.0,326.0,546.0,3
650.0,508.0,323.0,542.0,3
647.0,506.0,321.0,539.0,3
657.0,515.0,328.0,549.0,3
653.0,510.0,325.0,544.0,3
653.0,510.0,325.0,544.0,3
652.0,510.0,325.0,545.0,3
653.0,510.0,325.0,544.0,3
653.0,510.0,325.0,544.0,3
652.0,510.0,325.0,544.0,3
648.0,506.0,323.0,540.0,3
654.0,511.0,327.0,545.0,3
655.0,511.0,326.0,545.0,3
653.0,510.0,326.0,544.0,3
657.0,513.0,328.0,547.0,3
650.0,508.0,324.0,541.0,3
649.0,507.0,325.0,541.0,3
659.0,514.0,329.0,549.0,3
653.0,510.0,327.0,544.0,3
660.0,516.0,331.0,550.0,3
652.0,509.0,327.0,544.0,3
668.0,522.0,335.0,557.0,3
652.0,509.0,326.0,542.0,3
653.0,510.0,327.0,544.0,3
653.0,511.0,328.0,545.0,3
657.0,514.0,331.0,548.0,3
654.0,512.0,330.0,546.0,3
654.0,512.0,330.0,546.0,3
653.0,510.0,328.0,543.0,3
661.0,518.0,333.0,551.0,3
651.0,509.0,327.0,542.0,3
652.0,511.0,329.0,545.0,3
654.0,512.0,330.0,546.0,3
656.0,513.0,331.0,547.0,3
661.0,517.0,333.0,551.0,3
661.0,518.0,334.0,552.0,3
652.0,509.0,329.0,544.0,3
654.0,512.0,331.0,546.0,3
655.0,513.0,331.0,546.0,3
650.0,510.0,329.0,542.0,3
650.0,510.0,329.0,542.0,3
654.0,513.0,331.0,546.0,3
656.0,514.0,332.0,546.0,3
652.0,511.0,330.0,544.0,3
650.0,510.0,330.0,543.0,3
650.0,510.0,330.0,542.0,3
652.0,511.0,330.0,543.0,3
651.0,511.0,331.0,543.0,3
648.0,508.0,328.0,540.0,3
649.0,508.0,329.0,541.0,3
649.0,508.0,328.0,540.0,3
644.0,506.0,326.0,537.0,3
649.0,508.0,328.0,540.0,3
650.0,509.0,329.0,541.0,3
646.0,506.0,327.0,538.0,3
648.0,507.0,328.0,540.0,3
648.0,508.0,329.0,541.0,3
654.0,513.0,332.0,546.0,3
655.0,514.0,333.0,546.0,3
651.0,510.0,331.0,543.0,3
654.0,513.0,333.0,545.0,3
654.0,514.0,333.0,546.0,3
646.0,507.0,328.0,538.0,3
649.0,510.0,331.0,542.0,3
651.0,511.0,331.0,543.0,3
654.0,513.0,332.0,544.0,3
646.0,507.0,330.0,540.0,3
652.0,512.0,332.0,544.0,3
653.0,513.0,334.0,546.0,3
652.0,512.0,333.0,544.0,3
649.0,509.0,332.0,542.0,3
645.0,507.0,330.0,539.0,3
648.0,510.0,333.0,543.0,3
650.0,511.0,334.0,544.0,3
652.0,512.0,335.0,545.0,3
652.0,512.0,335.0,545.0,3
648.0,509.0,334.0,542.0,3
647.0,509.0,334.0,541.0,3
642.0,508.0,331.0,538.0,3
649.0,511.0,335.0,545.0,3
