MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
343.0,546.0,150.0,348.0,2
343.0,546.0,150.0,348.0,2
343.0,546.0,150.0,348.0,2
343.0,545.0,150.0,347.0,2
343.0,545.0,149.0,347.0,2
342.0,545.0,149.0,347.0,2
342.0,545.0,149.0,347.0,2
342.0,545.0,149.0,347.0,2
342.0,544.0,149.0,347.0,2
341.0,544.0,149.0,346.0,2
341.0,544.0,149.0,346.0,2
341.0,544.0,149.0,346.0,2
341.0,543.0,149.0,346.0,2
340.0,543.0,149.0,346.0,2
340.0,543.0,149.0,346.0,2
340.0,542.0,149.0,345.0,2
340.0,542.0,149.0,345.0,2
340.0,542.0,149.0,345.0,2
340.0,542.0,149.0,345.0,2
339.0,542.0,149.0,344.0,2
339.0,541.0,148.0,344.0,2
339.0,541.0,148.0,344.0,2
339.0,541.0,148.0,344.0,2
339.0,541.0,148.0,343.0,2
338.0,540.0,148.0,343.0,2
338.0,540.0,148.0,343.0,2
338.0,540.0,148.0,342.0,2
338.0,539.0,148.0,342.0,2
337.0,539.0,148.0,342.0,2
337.0,539.0,147.0,341.0,2
337.0,539.0,147.0,341.0,2
337.0,538.0,147.0,341.0,2
337.0,538.0,147.0,340.0,2
336.0,538.0,147.0,340.0,2
336.0,537.0,147.0,340.0,2
336.0,537.0,147.0,339.0,2
336.0,536.0,146.0,339.0,2
336.0,536.0,146.0,339.0,2
335.0,536.0,146.0,338.0,2
335.0,535.0,146.0,338.0,2
335.0,535.0,146.0,338.0,2
334.0,534.0,146.0,337.0,2
334.0,534.0,146.0,337.0,2
334.0,534.0,146.0,337.0,2
334.0,533.0,146.0,337.0,2
333.0,533.0,146.0,336.0,2
333.0,532.0,146.0,336.0,2
333.0,532.0,146.0,336.0,2
332.0,532.0,145.0,336.0,2
332.0,532.0,145.0,335.0,2
332.0,531.0,145.0,335.0,2
332.0,531.0,145.0,335.0,2
332.0,531.0,145.0,335.0,2
332.0,530.0,144.0,334.0,2
331.0,530.0,144.0,334.0,2
331.0,530.0,144.0,334.0,2
331.0,530.0,144.0,333.0,2
331.0,529.0,144.0,333.0,2
331.0,529.0,144.0,333.0,2
331.0,528.0,144.0,332.0,2
330.0,528.0,144.0,332.0,2
330.0,528.0,143.0,332.0,2
330.0,528.0,143.0,331.0,2
330.0,527.0,143.0,331.0,2
330.0,527.0,143.0,331.0,2
329.0,527.0,143.0,331.0,2
329.0,526.0,143.0,330.0,2
329.0,526.0,143.0,330.0,2
329.0,526.0,143.0,329.0,2
329.0,525.0,143.0,329.0,2
329.0,525.0,142.0,329.0,2
328.0,525.0,142.0,328.0,2
328.0,524.0,142.0,328.0,2
328.0,524.0,142.0,328.0,2
328.0,524.0,142.0,328.0,2
328.0,523.0,142.0,327.0,2
328.0,523.0,142.0,327.0,2
327.0,523.0,142.0,327.0,2
327.0,522.0,142.0,326.0,2
327.0,522.0,141.0,326.0,2
327.0,522.0,141.0,325.0,2
326.0,521.0,141.0,325.0,2
326.0,521.0,141.0,325.0,2
326.0,521.0,141.0,324.0,2
326.0,520.0,141.0,324.0,2
326.0,520.0,141.0,324.0,2
325.0,519.0,141.0,324.0,2
325.0,519.0,140.0,323.0,2
325.0,518.0,140.0,323.0,2
324.0,518.0,140.0,323.0,2
324.0,518.0,140.0,323.0,2
324.0,517.0,140.0,322.0,2
323.0,517.0,140.0,322.0,2
323.0,517.0,140.0,322.0,2
323.0,516.0,140.0,322.0,2
323.0,516.0,140.0,321.0,2
323.0,516.0,139.0,321.0,2
323.0,515.0,139.0,321.0,2
322.0,515.0,139.0,321.0,2
322.0,514.0,139.0,320.0,2
322.0,514.0,139.0,320.0,2
322.0,514.0,139.0,320.0,2
322.0,513.0,139.0,320.0,2
321.0,513.0,139.0,319.0,2
321.0,512.0,139.0,319.0,2
321.0,512.0,139.0,319.0,2
321.0,512.0,138.0,319.0,2
321.0,511.0,138.0,318.0,2
320.0,511.0,138.0,318.0,2
319.0,510.0,138.0,318.0,2
318.0,510.0,138.0,318.0,2
318.0,509.0,138.0,318.0,2
318.0,509.0,138.0,318.0,2
318.0,508.0,138.0,317.0,2
318.0,508.0,138.0,317.0,2
318.0,508.0,137.0,317.0,2
318.0,508.0,137.0,317.0,2
318.0,507.0,137.0,316.0,2
317.0,507.0,137.0,316.0,2
317.0,507.0,137.0,316.0,2
317.0,506.0,137.0,316.0,2
317.0,506.0,137.0,316.0,2
317.0,505.0,137.0,315.0,2
317.0,505.0,137.0,315.0,2
317.0,505.0,137.0,315.0,2
317.0,504.0,137.0,315.0,2
316.0,504.0,136.0,315.0,2
316.0,504.0,136.0,315.0,2
316.0,503.0,136.0,314.0,2
316.0,503.0,136.0,314.0,2
315.0,503.0,136.0,314.0,2
315.0,502.0,136.0,314.0,2
315.0,502.0,136.0,314.0,2
315.0,501.0,136.0,313.0,2
314.0,501.0,136.0,313.0,2
314.0,501.0,136.0,313.0,2
314.0,500.0,135.0,313.0,2
314.0,500.0,135.0,312.0,2
314.0,500.0,135.0,312.0,2
314.0,500.0,135.0,312.0,2
313.0,499.0,135.0,312.0,2
313.0,499.0,135.0,311.0,2
313.0,498.0,135.0,311.0,2
313.0,498.0,135.0,311.0,2
313.0,498.0,135.0,311.0,2
313.0,497.0,135.0,311.0,2
312.0,497.0,135.0,310.0,2
312.0,497.0,134.0,310.0,2
312.0,496.0,134.0,310.0,2
312.0,496.0,134.0,310.0,2
312.0,496.0,134.0,310.0,2
312.0,495.0,134.0,309.0,2
312.0,495.0,134.0,309.0,2
311.0,495.0,134.0,309.0,2
311.0,494.0,134.0,309.0,2
311.0,494.0,134.0,309.0,2
311.0,493.0,133.0,308.0,2
310.0,493.0,133.0,308.0,2
310.0,493.0,133.0,308.0,2
310.0,492.0,133.0,308.0,2
310.0,492.0,133.0,308.0,2
310.0,492.0,133.0,307.0,2
309.0,492.0,133.0,307.0,2
309.0,491.0,133.0,307.0,2
309.0,491.0,133.0,306.0,2
309.0,490.0,133.0,306.0,2
309.0,490.0,132.0,305.0,2
308.0,490.0,132.0,305.0,2
308.0,490.0,132.0,305.0,2
308.0,489.0,132.0,304.0,2
308.0,489.0,132.0,304.0,2
308.0,488.0,131.0,303.0,2
308.0,488.0,131.0,303.0,2
308.0,488.0,131.0,302.0,2
307.0,488.0,131.0,302.0,2
307.0,487.0,130.0,302.0,2
307.0,487.0,130.0,301.0,2
307.0,487.0,130.0,301.0,2
307.0,486.0,130.0,300.0,2
307.0,486.0,130.0,300.0,2
