MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
568.0,456.0,312.0,439.0,3
572.0,458.0,315.0,441.0,3
571.0,457.0,314.0,440.0,3
573.0,458.0,316.0,442.0,3
573.0,458.0,317.0,443.0,3
576.0,460.0,320.0,445.0,3
572.0,457.0,318.0,442.0,3
572.0,456.0,318.0,442.0,3
577.0,460.0,322.0,446.0,3
577.0,459.0,322.0,446.0,3
577.0,459.0,323.0,447.0,3
576.0,458.0,323.0,446.0,3
578.0,459.0,324.0,448.0,3
577.0,459.0,325.0,448.0,3
577.0,458.0,325.0,448.0,3
578.0,459.0,326.0,449.0,3
580.0,460.0,328.0,450.0,3
581.0,460.0,329.0,451.0,3
583.0,462.0,330.0,453.0,3
582.0,461.0,330.0,453.0,3
581.0,460.0,330.0,452.0,3
582.0,460.0,331.0,453.0,3
582.0,461.0,331.0,454.0,3
583.0,461.0,332.0,454.0,3
583.0,461.0,333.0,455.0,3
583.0,461.0,333.0,455.0,3
583.0,461.0,333.0,455.0,3
583.0,461.0,333.0,455.0,3
584.0,461.0,334.0,456.0,3
583.0,460.0,333.0,455.0,3
584.0,460.0,334.0,456.0,3
583.0,460.0,334.0,456.0,3
583.0,459.0,334.0,456.0,3
583.0,460.0,334.0,456.0,3
583.0,459.0,334.0,456.0,3
584.0,460.0,335.0,457.0,3
584.0,460.0,335.0,457.0,3
586.0,461.0,337.0,459.0,3
586.0,462.0,337.0,460.0,3
586.0,461.0,337.0,460.0,3
586.0,461.0,337.0,460.0,3
587.0,462.0,338.0,461.0,3
587.0,462.0,338.0,461.0,3
588.0,462.0,339.0,462.0,3
588.0,462.0,339.0,462.0,3
588.0,463.0,340.0,463.0,3
588.0,462.0,339.0,462.0,3
589.0,463.0,340.0,463.0,3
590.0,463.0,341.0,464.0,3
589.0,463.0,340.0,464.0,3
590.0,464.0,341.0,465.0,3
589.0,463.0,341.0,464.0,3
589.0,463.0,341.0,465.0,3
589.0,463.0,341.0,465.0,3
590.0,463.0,342.0,466.0,3
590.0,463.0,342.0,466.0,3
590.0,463.0,342.0,466.0,3
590.0,463.0,342.0,466.0,3
591.0,464.0,343.0,467.0,3
591.0,464.0,343.0,467.0,3
590.0,463.0,343.0,466.0,3
589.0,462.0,342.0,466.0,3
591.0,464.0,344.0,468.0,3
591.0,464.0,344.0,468.0,3
591.0,463.0,344.0,468.0,3
591.0,463.0,344.0,468.0,3
591.0,464.0,345.0,469.0,3
592.0,464.0,345.0,469.0,3
592.0,464.0,345.0,469.0,3
594.0,465.0,347.0,471.0,3
593.0,464.0,346.0,470.0,3
593.0,465.0,347.0,471.0,3
594.0,465.0,347.0,471.0,3
593.0,464.0,347.0,471.0,3
594.0,465.0,347.0,471.0,3
593.0,464.0,347.0,471.0,3
593.0,464.0,347.0,471.0,3
593.0,464.0,347.0,471.0,3
594.0,465.0,347.0,472.0,3
594.0,465.0,348.0,472.0,3
594.0,465.0,348.0,472.0,3
594.0,465.0,348.0,472.0,3
594.0,465.0,348.0,472.0,3
595.0,466.0,348.0,473.0,3
593.0,464.0,348.0,472.0,3
594.0,465.0,348.0,473.0,3
594.0,465.0,348.0,473.0,3
594.0,465.0,348.0,473.0,3
594.0,464.0,348.0,473.0,3
594.0,465.0,349.0,473.0,3
594.0,465.0,349.0,473.0,3
594.0,464.0,349.0,473.0,3
595.0,465.0,349.0,474.0,3
595.0,465.0,350.0,474.0,3
594.0,465.0,349.0,473.0,3
595.0,465.0,350.0,474.0,3
594.0,465.0,350.0,474.0,3
595.0,465.0,350.0,474.0,3
595.0,466.0,351.0,475.0,3
595.0,465.0,350.0,474.0,3
596.0,466.0,351.0,475.0,3
595.0,465.0,351.0,474.0,3
