MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
486.0,378.0,247.0,381.0,3
487.0,379.0,248.0,383.0,3
488.0,380.0,249.0,384.0,3
489.0,381.0,251.0,385.0,3
489.0,381.0,250.0,385.0,3
490.0,383.0,252.0,387.0,3
493.0,386.0,256.0,390.0,3
492.0,384.0,253.0,388.0,3
493.0,385.0,255.0,389.0,3
493.0,385.0,255.0,389.0,3
483.0,372.0,238.0,376.0,3
487.0,376.0,243.0,381.0,3
490.0,377.0,246.0,384.0,3
488.0,375.0,242.0,381.0,3
490.0,377.0,244.0,383.0,3
492.0,379.0,246.0,385.0,3
499.0,389.0,258.0,394.0,3
498.0,387.0,256.0,392.0,3
499.0,388.0,257.0,393.0,3
500.0,389.0,258.0,394.0,3
501.0,390.0,260.0,396.0,3
500.0,388.0,257.0,393.0,3
508.0,398.0,269.0,403.0,3
509.0,399.0,271.0,404.0,3
509.0,400.0,272.0,405.0,3
512.0,402.0,275.0,407.0,3
509.0,400.0,272.0,405.0,3
509.0,400.0,271.0,404.0,3
509.0,399.0,270.0,403.0,3
510.0,400.0,272.0,405.0,3
510.0,400.0,272.0,405.0,3
512.0,402.0,273.0,406.0,3
512.0,402.0,274.0,406.0,3
512.0,402.0,273.0,406.0,3
512.0,402.0,274.0,406.0,3
513.0,403.0,275.0,407.0,3
511.0,401.0,272.0,404.0,3
512.0,402.0,273.0,405.0,3
513.0,403.0,274.0,406.0,3
514.0,404.0,276.0,407.0,3
517.0,407.0,280.0,410.0,3
517.0,408.0,280.0,410.0,3
518.0,408.0,281.0,411.0,3
527.0,420.0,296.0,423.0,3
528.0,421.0,297.0,423.0,3
525.0,418.0,293.0,420.0,3
526.0,419.0,294.0,421.0,3
523.0,415.0,290.0,417.0,3
526.0,419.0,295.0,421.0,3
524.0,417.0,293.0,419.0,3
526.0,418.0,294.0,420.0,3
528.0,421.0,297.0,423.0,3
529.0,422.0,299.0,424.0,3
514.0,403.0,274.0,404.0,3
517.0,407.0,278.0,408.0,3
519.0,408.0,280.0,409.0,3
524.0,414.0,288.0,415.0,3
523.0,414.0,288.0,415.0,3
524.0,415.0,288.0,416.0,3
524.0,415.0,289.0,416.0,3
523.0,413.0,286.0,414.0,3
525.0,416.0,290.0,417.0,3
526.0,417.0,291.0,418.0,3
526.0,417.0,291.0,418.0,3
526.0,417.0,291.0,418.0,3
525.0,415.0,288.0,416.0,3
525.0,415.0,288.0,416.0,3
525.0,416.0,289.0,416.0,3
526.0,416.0,289.0,416.0,3
526.0,416.0,289.0,416.0,3
526.0,416.0,289.0,416.0,3
527.0,417.0,290.0,417.0,3
526.0,416.0,289.0,416.0,3
527.0,417.0,290.0,417.0,3
528.0,417.0,290.0,417.0,3
528.0,417.0,290.0,417.0,3
528.0,418.0,290.0,417.0,3
528.0,417.0,289.0,416.0,3
527.0,416.0,288.0,415.0,3
528.0,417.0,289.0,416.0,3
531.0,419.0,290.0,418.0,3
528.0,417.0,289.0,416.0,3
528.0,417.0,289.0,416.0,3
529.0,418.0,290.0,417.0,3
529.0,418.0,289.0,416.0,3
529.0,418.0,290.0,417.0,3
528.0,417.0,289.0,416.0,3
529.0,418.0,289.0,416.0,3
531.0,420.0,293.0,419.0,3
525.0,412.0,282.0,410.0,3
526.0,413.0,284.0,412.0,3
527.0,414.0,284.0,412.0,3
528.0,415.0,285.0,413.0,3
528.0,415.0,285.0,413.0,3
529.0,416.0,287.0,415.0,3
532.0,419.0,288.0,417.0,3
531.0,418.0,288.0,416.0,3
531.0,418.0,288.0,416.0,3
531.0,417.0,288.0,415.0,3
530.0,417.0,287.0,415.0,3
532.0,418.0,288.0,416.0,3
533.0,419.0,290.0,417.0,3
532.0,418.0,288.0,416.0,3
532.0,418.0,288.0,416.0,3
532.0,418.0,288.0,416.0,3
533.0,419.0,289.0,416.0,3
533.0,420.0,290.0,417.0,3
533.0,419.0,290.0,417.0,3
533.0,419.0,290.0,416.0,3
532.0,418.0,288.0,415.0,3
534.0,420.0,291.0,417.0,3
534.0,420.0,291.0,418.0,3
534.0,421.0,292.0,418.0,3
534.0,420.0,292.0,418.0,3
536.0,422.0,294.0,420.0,3
537.0,423.0,295.0,421.0,3
537.0,424.0,296.0,421.0,3
535.0,421.0,293.0,418.0,3
