MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
592.0,469.0,322.0,462.0,3
592.0,469.0,321.0,461.0,3
591.0,469.0,320.0,461.0,3
591.0,468.0,320.0,461.0,3
590.0,468.0,320.0,461.0,3
590.0,467.0,320.0,460.0,3
591.0,468.0,320.0,461.0,3
591.0,468.0,320.0,461.0,3
591.0,468.0,320.0,461.0,3
590.0,468.0,320.0,461.0,3
591.0,469.0,320.0,462.0,3
591.0,468.0,320.0,461.0,3
591.0,468.0,320.0,461.0,3
591.0,469.0,319.0,462.0,3
592.0,469.0,320.0,462.0,3
592.0,469.0,319.0,462.0,3
592.0,469.0,319.0,461.0,3
592.0,469.0,319.0,461.0,3
593.0,469.0,319.0,462.0,3
593.0,469.0,319.0,462.0,3
593.0,469.0,318.0,462.0,3
594.0,469.0,318.0,462.0,3
594.0,469.0,318.0,462.0,3
594.0,469.0,318.0,462.0,3
595.0,470.0,318.0,463.0,3
595.0,470.0,318.0,464.0,3
596.0,470.0,318.0,463.0,3
596.0,470.0,318.0,463.0,3
596.0,470.0,318.0,463.0,3
597.0,470.0,318.0,463.0,3
597.0,470.0,318.0,463.0,3
596.0,470.0,318.0,463.0,3
597.0,470.0,318.0,463.0,3
596.0,470.0,318.0,463.0,3
596.0,469.0,317.0,463.0,3
596.0,470.0,318.0,463.0,3
596.0,469.0,318.0,463.0,3
597.0,471.0,318.0,464.0,3
597.0,471.0,318.0,464.0,3
596.0,470.0,318.0,464.0,3
597.0,470.0,318.0,464.0,3
596.0,470.0,318.0,464.0,3
598.0,471.0,319.0,465.0,3
598.0,471.0,318.0,465.0,3
598.0,471.0,319.0,465.0,3
598.0,471.0,318.0,465.0,3
598.0,471.0,318.0,465.0,3
598.0,471.0,318.0,465.0,3
598.0,472.0,318.0,465.0,3
598.0,471.0,318.0,465.0,3
599.0,472.0,318.0,466.0,3
599.0,472.0,318.0,466.0,3
599.0,472.0,318.0,466.0,3
599.0,471.0,317.0,466.0,3
599.0,471.0,317.0,465.0,3
600.0,473.0,318.0,467.0,3
601.0,473.0,318.0,467.0,3
599.0,472.0,317.0,466.0,3
600.0,472.0,317.0,466.0,3
601.0,472.0,317.0,466.0,3
601.0,473.0,317.0,466.0,3
602.0,473.0,317.0,467.0,3
602.0,473.0,316.0,467.0,3
604.0,475.0,317.0,468.0,3
604.0,475.0,317.0,468.0,3
604.0,474.0,317.0,468.0,3
604.0,474.0,316.0,468.0,3
604.0,475.0,316.0,469.0,3
603.0,474.0,316.0,468.0,3
603.0,474.0,317.0,469.0,3
602.0,474.0,316.0,469.0,3
602.0,474.0,316.0,469.0,3
601.0,473.0,316.0,468.0,3
601.0,473.0,316.0,468.0,3
600.0,473.0,316.0,468.0,3
600.0,473.0,316.0,469.0,3
600.0,473.0,317.0,469.0,3
599.0,473.0,316.0,468.0,3
600.0,473.0,316.0,469.0,3
598.0,473.0,316.0,469.0,3
600.0,474.0,317.0,470.0,3
599.0,474.0,317.0,470.0,3
600.0,475.0,318.0,470.0,3
599.0,474.0,317.0,470.0,3
599.0,474.0,317.0,470.0,3
598.0,473.0,317.0,469.0,3
599.0,474.0,317.0,471.0,3
598.0,474.0,317.0,470.0,3
597.0,473.0,316.0,469.0,3
599.0,475.0,318.0,471.0,3
597.0,474.0,317.0,470.0,3
596.0,473.0,316.0,470.0,3
596.0,474.0,317.0,470.0,3
596.0,473.0,316.0,470.0,3
598.0,475.0,317.0,471.0,3
597.0,474.0,317.0,470.0,3
597.0,474.0,317.0,471.0,3
597.0,474.0,317.0,470.0,3
596.0,474.0,317.0,470.0,3
596.0,474.0,317.0,470.0,3
596.0,474.0,316.0,470.0,3
597.0,475.0,317.0,471.0,3
598.0,476.0,318.0,472.0,3
595.0,474.0,317.0,470.0,3
596.0,474.0,317.0,471.0,3
594.0,473.0,317.0,470.0,3
595.0,473.0,317.0,471.0,3
595.0,473.0,317.0,472.0,3
594.0,473.0,317.0,471.0,3
593.0,472.0,317.0,471.0,3
594.0,472.0,317.0,472.0,3
593.0,472.0,317.0,471.0,3
594.0,473.0,317.0,472.0,3
592.0,472.0,317.0,471.0,3
594.0,473.0,318.0,472.0,3
592.0,472.0,317.0,472.0,3
594.0,473.0,318.0,473.0,3
592.0,473.0,318.0,472.0,3
592.0,473.0,317.0,472.0,3
591.0,473.0,317.0,472.0,3
591.0,473.0,317.0,472.0,3
591.0,473.0,317.0,472.0,3
590.0,472.0,316.0,471.0,3
590.0,473.0,317.0,472.0,3
591.0,473.0,317.0,472.0,3
590.0,473.0,317.0,472.0,3
590.0,474.0,317.0,472.0,3
589.0,473.0,316.0,472.0,3
590.0,473.0,316.0,472.0,3
590.0,474.0,316.0,472.0,3
590.0,473.0,315.0,471.0,3
590.0,473.0,315.0,471.0,3
590.0,473.0,315.0,472.0,3
590.0,473.0,314.0,471.0,3
590.0,473.0,314.0,471.0,3
591.0,473.0,314.0,472.0,3
591.0,474.0,315.0,472.0,3
591.0,473.0,314.0,472.0,3
591.0,473.0,314.0,472.0,3
590.0,472.0,314.0,472.0,3
590.0,472.0,314.0,472.0,3
590.0,472.0,314.0,472.0,3
589.0,471.0,313.0,471.0,3
589.0,472.0,314.0,472.0,3
590.0,473.0,314.0,473.0,3
590.0,473.0,315.0,473.0,3
590.0,473.0,314.0,473.0,3
590.0,473.0,315.0,473.0,3
590.0,474.0,315.0,474.0,3
590.0,474.0,315.0,473.0,3
588.0,473.0,314.0,472.0,3
588.0,473.0,314.0,472.0,3
588.0,473.0,314.0,472.0,3
588.0,472.0,313.0,472.0,3
587.0,471.0,312.0,471.0,3
585.0,470.0,311.0,469.0,3
585.0,470.0,311.0,469.0,3
582.0,467.0,308.0,467.0,3
583.0,468.0,309.0,468.0,3
583.0,468.0,309.0,467.0,3
583.0,468.0,308.0,467.0,3
583.0,468.0,308.0,467.0,3
